,Turbidity
2019-01-01,-0.018497186442505708
2019-01-01,-0.0425680086429745
2019-01-06,-0.026714207662115918
2019-01-06,-0.054254168191866806
2019-01-11,-0.03566007891541646
2019-01-11,-0.05524524409597242
2019-01-16,-0.03583057484442579
2019-01-16,-0.09099888463020496
2019-01-21,-0.06530233215861928
2019-01-21,-0.05709184683467386
2019-02-10,-0.03819753964637894
2019-02-10,-0.11186388895785435
2019-02-20,-0.07441991847344016
2019-02-25,-0.06036946847246831
2019-02-25,-0.09245768346054697
2019-03-07,-0.05708709927904117
2019-03-07,-0.11323489466810632
2019-03-12,-0.07531878159704358
2019-03-12,-0.08310959019727682
2019-03-22,-0.05227431764618273
2019-03-22,-0.09317625842239866
2019-03-27,-0.07260600619981128
2019-03-27,-0.1005860779670498
2019-04-01,-0.052122131709796814
2019-04-01,-0.06895893336329913
2019-04-11,-0.046739764935574996
2019-04-11,-0.014418064352799614
2019-04-21,0.00024641295035470904
2019-04-21,-0.06126244628713575
2019-04-26,-0.03592352150492746
2019-04-26,-0.026083517330241737
2019-05-01,-0.007283150736114778
2019-05-01,-0.025958163134747938
2019-05-06,-0.0076664438297593986
2019-05-06,-0.02327156990359493
2019-05-21,-0.006240190808221767
2019-05-21,-0.026826650157220387
2019-05-26,-0.008585660904624237
2019-05-31,0.0013881127070319026
2019-05-31,-0.013224568991878353
2019-06-05,0.002074569560207109
2019-06-05,-0.008054906363416436
2019-06-10,0.0045983412227064
2019-06-10,-0.01336890518908879
2019-06-15,0.0013506853349228621
2019-06-15,0.0034093847883158424
2019-06-25,0.012572621601797895
2019-10-08,-0.005127247227306466
2019-10-08,0.060471536967526635
2019-10-13,0.05519493840047466
2019-10-13,0.06656268929772312
2019-10-18,0.06290999219025542
2019-10-18,-0.013181922743640414
2019-11-02,-0.008902066716332847
2019-11-07,-0.05465569601562568
2019-11-12,-0.05759165063939942
2019-11-12,-0.06682048308661208
2019-11-17,-0.05412718293592588
2019-11-17,-0.06619680576817637
2019-11-22,-0.0491640201089397
2019-11-27,-0.05425317114732433
2019-11-27,-0.06944543823100002
2019-12-02,-0.05285345282727661
2020-01-11,-0.045075062539434274
2020-01-26,-0.08245205585038903
2020-01-26,-0.07606994731700119
2020-01-31,-0.057245539089915046
2020-01-31,-0.11813480202828444
2020-02-05,-0.09623774444656498
2020-02-05,-0.07480622835451071
2020-02-10,-0.05596880994093139
2020-02-10,-0.07129673243726507
2020-02-15,-0.051895061447290336
2020-02-15,-0.12421518929724039
2020-02-25,-0.09500697966155548
2020-03-26,-0.0560995209358934
2020-03-26,-0.1113541419556715
2020-03-31,-0.07685440517315745
2020-03-31,-0.11855857969989718
2020-04-05,-0.07920062463488164
2020-04-05,-0.14367001630018206
2020-04-10,-0.10803966520964661
2020-04-10,-0.08196253361939551
2020-04-15,-0.055557046434370656
2020-04-15,-0.02184809180106823
2020-04-25,-0.006064778240553292
2020-04-30,-0.03322303170704551
2020-04-30,-0.041229633475875584
2020-05-05,-0.02920192277056158
2020-05-15,-0.08984098718112637
2020-05-15,-0.031015618161244537
2020-05-25,-0.013817787188115301
2020-05-25,-0.006199889461493876
2020-05-30,0.006412399255851526
2020-06-09,-0.0033323511519123493
2020-06-09,-0.08372686470694216
2020-09-27,-0.05705467829200368
2020-10-02,-0.06673358923564321
2020-10-02,-0.11697299214735726
2020-10-07,-0.1066197399425939
2020-10-07,-0.13751380751958064
2020-10-12,-0.11774307981671135
2020-10-12,-0.21734674211391009
2020-10-17,-0.19310438020507806
2020-10-17,-0.16829844624535975
2020-10-22,-0.14850149517156352
2020-10-27,-0.05641586600835391
2020-10-27,-0.06922819256155185
2020-11-01,-0.07734010883906452
2020-11-01,-0.09492290222534887
2020-11-06,-0.11769181167933776
2020-11-11,-0.04570760505701861
2020-11-11,-0.10765077033126347
2020-11-21,-0.07873593287442608
2020-11-21,-0.061229810671364925
2020-12-01,-0.042800491236512604
2020-12-01,-0.06531152985245284
2020-12-06,-0.044971596458401715
2020-12-06,-0.03895676239332915
2020-12-26,-0.023942295090769297
2020-12-26,-0.04953990125877819
2021-01-10,-0.03500520343691907
2021-01-10,-0.03758649042891604
2021-02-04,-0.02562393432799512
2021-02-04,-0.05530105607042061
2021-02-09,-0.03785225391583753
2021-02-09,-0.04265143829498052
2021-02-14,-0.02851695504510279
2021-02-14,-0.03837743302792953
2021-02-19,-0.027239905845392688
2021-02-19,-0.030622098000917652
2021-02-24,-0.02277920659879832
2021-02-24,-0.05860754001550205
2021-03-01,-0.038311158640130676
2021-03-01,-0.03270695967715671
2021-03-06,-0.016612122991697575
2021-03-06,-0.06356381584794658
2021-03-11,-0.038203431230376755
2021-03-11,-0.012626291586935602
2021-03-16,-0.010780592005848412
2021-03-16,-0.008157448642175305
2021-03-26,-0.0001937777537378171
2021-03-31,-0.0014244820586921591
2021-03-31,-0.007078363526696451
2021-04-05,0.004653256514346673
2021-04-05,-0.006642403791746543
2021-04-10,0.0058321664651634995
2021-04-10,0.019586688439682382
2021-04-20,0.027718800321192845
2021-04-20,-0.006971757991264795
2021-04-25,0.004871057914363576
2021-04-25,-0.01613330290204717
2021-05-10,-0.002550800888326423
2021-05-10,0.00041393730696801575
2021-07-14,0.012021165746140558
2021-07-14,-0.07654468314329041
2021-09-12,-0.05135031290756354
2021-09-12,0.0320546988149888
2021-09-27,0.03174067882674281
2021-09-27,0.10759411007479183
2021-10-07,0.09505367651983657
2021-10-12,-0.03231763757448938
2021-10-12,-0.015334507153861792
2021-10-22,-0.007890355717735715
2021-10-22,-0.020020123202780425
2021-10-27,-0.005641371104390406
2021-10-27,0.08675732510212267
2021-11-01,0.07893598711987418
2021-11-01,0.030379786065647372
2021-11-06,0.053048104531527696
2021-11-06,0.03856685554677136
2021-11-16,0.037787740786304085
2021-11-16,-0.030791037584529064
2021-11-21,-0.022335154910142346
2021-11-21,-0.0736895959983861
2021-11-26,-0.05420660747190082
2021-11-26,-0.07088767482840368
2021-12-01,-0.049097639707308384
2021-12-01,-0.06758539344687012
2021-12-06,-0.05157628331257727
2021-12-06,-0.12479211904337087
2021-12-11,-0.0914497161235546
2021-12-11,-0.10519615071750972
2021-12-16,-0.07618979945969274
2021-12-16,-0.08586602975175886
2021-12-21,-0.06229799042791639
2021-12-21,-0.08584764871929207
2022-01-30,-0.06082226110288306
2022-01-30,-0.058032449556695176
2022-02-14,-0.04199213895139232
2022-02-14,-0.01727068410467587
2022-02-19,-0.006290507957853106
2022-02-19,-0.025955554888463555
2022-03-01,-0.013261341797199252
2022-03-01,-0.02637155465679497
2022-03-06,-0.012109141598221908
2022-03-06,-0.026261763222119892
2022-03-11,-0.01324459324201117
2022-03-11,-0.021336396668625867
2022-03-16,-0.008124150551544114
2022-03-16,-0.006944188913735078
2022-03-21,0.004765242058813293
2022-03-21,-0.010170127100509647
2022-03-26,0.001513723140353951
2022-03-26,0.0005025652278203924
2022-03-31,0.0041883643236897755
2022-03-31,-0.010740819111871245
2022-04-05,-0.0027231045619843628
2022-04-05,-0.00749938603448461
2022-04-10,0.003612692307339215
2022-04-10,-0.00986120036896521
2022-04-15,-0.0038624028370705474
2022-04-15,0.007712759787597511
2022-04-20,0.015633437978864045
2022-04-20,-0.0031500772037209917
2022-04-25,0.0037867620209375502
2022-04-25,0.00024675258845398117
2022-04-30,0.011032639569818396
2022-04-30,0.011158010151717239
2022-05-10,0.0136077502064391
2022-05-10,-0.0013101729519049957
2022-05-15,-0.010840601846719406
2022-05-15,0.007051884550401132
2022-05-20,0.011279492603198233
2022-05-20,0.026331643804033085
2022-05-25,0.026897999292206935
2022-05-25,-0.009919598648913728
2022-05-30,0.006779539433674931
2022-05-30,0.020616658770972716
2022-06-04,0.021525996479722656
2022-06-04,0.011714392753901159
2022-06-19,0.019064965083948667
2022-06-19,-0.008652796794016955
2022-06-24,-0.002552371328689678
2022-08-23,-0.008862238869140247
2022-10-02,0.07663390879339207
2022-10-17,0.06320268422862767
2022-10-22,-0.014834845608749269
2022-10-22,0.04905220487783857
2022-10-27,0.04090714019888084
2022-10-27,0.033118995852365475
2022-11-01,0.026722884651327564
2022-11-01,0.019421686829276877
2022-11-06,0.012764173016061163
2022-11-06,-0.012059402924317456
2022-11-11,-0.0018890633885891982
2022-11-11,-0.016570774458367087
2022-11-16,-0.01979702567551043
2022-11-16,-0.06035735437889391
2022-11-21,-0.03847877507474117
2022-11-21,-0.05228347544902505
2022-11-26,-0.03680099879793799
2022-11-26,-0.06057980814044395
2022-12-01,-0.04116155030326042
2022-12-01,-0.03051967995882199
2022-12-06,-0.019547856586861406
2022-12-06,-0.018989004109463196
2022-12-11,-0.010678934839239011
2022-12-11,-0.043965838330425465
2022-12-16,-0.031015397849047957
2022-12-16,-0.045582150386777875
2022-12-26,-0.03151430908794496
2022-12-26,-0.02270273684985698
